Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jalen Brunson,PG,27,NYK,8,8,34.8,7.9,19.5,.404,2.6,6.1,.429,5.3,13.4,.393,.471,4.1,5.0,.825,0.9,2.8,3.6,4.8,1.1,0.0,2.4,2.1,22.5
Thomas Bryant,C,26,MIA,8,1,14.6,2.4,4.5,.528,0.0,0.3,.000,2.4,4.3,.559,.528,1.3,1.6,.769,1.3,3.3,4.5,0.6,0.5,0.4,1.3,1.5,6.0
Kobe Bufkin,SG,20,ATL,2,0,2.0,0.0,1.5,.000,0.0,0.5,.000,0.0,1.0,.000,.000,0.5,1.0,.500,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5
Reggie Bullock,SF,32,HOU,5,0,10.4,0.4,1.6,.250,0.4,1.4,.286,0.0,0.2,.000,.375,0.0,0.0,,0.0,1.4,1.4,0.6,0.2,0.2,0.4,0.8,1.2
Alec Burks,SG,32,DET,4,0,25.5,4.3,9.8,.436,3.5,6.5,.538,0.8,3.3,.231,.615,3.0,3.8,.800,0.3,3.0,3.3,2.3,0.3,0.8,0.0,1.5,15.0
Jared Butler,SG,23,WAS,2,0,4.5,0.5,2.0,.250,0.5,1.5,.333,0.0,0.5,.000,.375,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.5
Jimmy Butler,PF,34,MIA,7,7,33.4,5.9,13.6,.432,1.0,2.0,.500,4.9,11.6,.420,.468,5.7,6.6,.870,2.7,3.4,6.1,3.4,1.6,0.3,1.3,0.6,18.4
Jamal Cain,PF,24,MIA,3,0,10.0,1.3,3.0,.444,0.0,1.3,.000,1.3,1.7,.800,.444,0.0,0.0,,1.0,1.0,2.0,0.0,1.0,0.0,0.3,0.7,2.7
Kentavious Caldwell-Pope,SG,30,DEN,9,9,32.8,3.7,7.7,.478,1.7,3.9,.429,2.0,3.8,.529,.587,1.2,1.2,1.000,0.2,1.9,2.1,1.8,1.9,0.6,1.2,2.4,10.2
Toumani Camara,PF,23,POR,8,0,24.6,2.0,5.9,.340,0.6,2.1,.294,1.4,3.8,.367,.394,1.1,1.5,.750,1.9,2.6,4.5,1.3,0.9,0.6,0.9,2.1,5.8
Clint Capela,C,29,ATL,9,9,24.8,4.1,7.2,.569,0.0,0.0,,4.1,7.2,.569,.569,1.7,2.4,.682,4.0,6.7,10.7,0.9,0.6,1.4,0.6,1.9,9.9
Jevon Carter,PG,28,CHI,9,0,15.1,3.0,6.0,.500,1.8,3.6,.500,1.2,2.4,.500,.648,0.0,0.1,.000,0.1,0.6,0.7,1.1,0.6,0.3,0.9,1.0,7.8
Wendell Carter Jr.,C,24,ORL,5,5,29.4,3.4,9.0,.378,1.0,3.2,.313,2.4,5.8,.414,.433,1.6,2.8,.571,2.2,6.4,8.6,1.6,0.6,0.4,1.6,2.8,9.4
Alex Caruso,SG,29,CHI,9,0,23.6,2.9,4.9,.591,1.2,2.8,.440,1.7,2.1,.789,.716,0.8,1.2,.636,1.4,2.4,3.9,2.4,1.6,0.8,1.0,2.6,7.8
Colin Castleton,C,23,LAL,2,0,9.5,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,1.0,0.5,1.5,1.0,0.0,0.0,0.0,2.5,2.0
Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,SF,22,SAS,5,0,7.2,0.8,3.6,.222,0.2,2.0,.100,0.6,1.6,.375,.250,0.0,0.0,,0.0,0.8,0.8,0.0,0.2,0.6,0.6,0.0,1.8
Max Christie,SG,20,LAL,5,0,18.0,1.4,5.0,.280,0.2,2.0,.100,1.2,3.0,.400,.300,0.8,1.0,.800,0.2,3.2,3.4,0.8,0.2,0.2,0.6,1.8,3.8
Jordan Clarkson,SG,31,UTA,10,10,31.3,5.9,15.2,.388,1.5,5.2,.288,4.4,10.0,.440,.438,3.2,3.8,.842,1.6,2.0,3.6,4.9,0.8,0.2,3.7,1.5,16.5
Nic Claxton,C,24,BRK,1,1,28.0,3.0,10.0,.300,0.0,0.0,,3.0,10.0,.300,.300,1.0,1.0,1.000,4.0,3.0,7.0,4.0,0.0,3.0,0.0,1.0,7.0
Amir Coffey,SF,26,LAC,5,0,7.4,0.4,1.6,.250,0.0,0.4,.000,0.4,1.2,.333,.250,0.8,0.8,1.000,0.0,0.6,0.6,0.4,0.0,0.0,0.4,0.4,1.6
John Collins,PF,26,UTA,10,10,31.1,5.6,10.3,.544,1.5,3.5,.429,4.1,6.8,.603,.617,2.3,3.2,.719,2.5,5.5,8.0,0.9,0.6,0.7,1.3,3.5,15.0
Zach Collins,C,26,SAS,9,9,29.3,5.6,10.1,.549,1.0,3.7,.273,4.6,6.4,.707,.599,1.4,2.1,.684,1.6,4.6,6.1,4.2,0.7,1.1,2.6,3.3,13.6
Mike Conley,PG,36,MIN,8,8,29.0,4.0,7.9,.508,2.0,4.4,.457,2.0,3.5,.571,.635,0.8,0.8,1.000,0.8,2.4,3.1,4.5,0.9,0.1,0.6,2.0,10.8
Pat Connaughton,SF,31,MIL,9,0,21.2,2.0,5.0,.400,0.8,2.9,.269,1.2,2.1,.579,.478,0.6,0.8,.714,0.4,1.8,2.2,2.0,0.4,0.2,0.7,1.0,5.3
Bilal Coulibaly,SF,19,WAS,8,1,23.5,2.3,5.1,.439,1.1,3.0,.375,1.1,2.1,.529,.549,0.9,1.4,.636,0.4,2.5,2.9,1.5,0.5,0.9,1.4,1.8,6.5
Robert Covington,SF-PF,33,TOT,8,3,15.3,1.0,2.6,.381,0.6,2.1,.294,0.4,0.5,.750,.500,0.6,0.8,.833,0.6,1.3,1.9,0.9,2.1,0.5,0.3,1.8,3.3
Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0
Robert Covington,SF,33,PHI,5,0,10.6,1.0,2.4,.417,0.6,1.8,.333,0.4,0.6,.667,.542,0.8,0.8,1.000,0.6,0.8,1.4,0.0,2.2,0.4,0.4,1.4,3.4
Torrey Craig,SF,33,CHI,9,4,21.7,1.9,4.6,.415,0.8,2.0,.389,1.1,2.6,.435,.500,0.1,0.1,1.000,1.4,3.1,4.6,1.4,0.8,0.4,0.4,2.9,4.7
Jae Crowder,PF,33,MIL,9,2,26.7,2.8,5.2,.532,1.8,3.4,.516,1.0,1.8,.563,.702,0.8,1.3,.583,0.4,3.4,3.9,1.7,0.8,0.3,0.4,1.6,8.1
Cade Cunningham,PG,22,DET,10,10,35.9,8.8,21.0,.419,2.1,6.6,.318,6.7,14.4,.465,.469,4.0,4.6,.870,0.5,3.2,3.7,7.1,0.6,0.2,5.3,3.3,23.7
Seth Curry,SG,33,DAL,6,0,8.7,0.8,2.3,.357,0.3,1.2,.286,0.5,1.2,.429,.429,0.3,0.5,.667,0.3,0.7,1.0,0.7,0.3,0.2,0.5,0.7,2.3
Stephen Curry,PG,35,GSW,10,10,32.1,9.4,19.0,.495,5.7,12.6,.452,3.7,6.4,.578,.645,5.5,5.9,.932,0.9,3.7,4.6,4.0,1.0,0.2,3.6,1.5,30.0
Dyson Daniels,PG,20,NOP,9,2,25.4,2.8,6.3,.439,0.8,2.6,.304,2.0,3.8,.529,.500,1.0,1.8,.563,1.1,3.6,4.7,2.9,1.3,0.6,1.4,1.6,7.3
Anthony Davis,C,30,LAL,8,8,36.8,8.5,16.0,.531,0.4,0.9,.429,8.1,15.1,.537,.543,5.8,6.4,.902,3.3,8.6,11.9,3.4,0.9,3.0,1.4,3.3,23.1
Johnny Davis,SG,21,WAS,5,0,11.2,2.4,4.6,.522,0.2,0.4,.500,2.2,4.2,.524,.543,0.4,0.6,.667,0.6,0.8,1.4,0.2,0.8,0.2,0.4,1.0,5.4
DeMar DeRozan,SF,34,CHI,9,9,34.6,7.6,17.3,.436,0.7,2.1,.316,6.9,15.2,.453,.455,5.7,6.9,.823,1.1,2.0,3.1,4.6,1.3,0.8,0.9,2.2,21.4
Moussa Diabaté,C,22,LAC,5,0,6.8,1.4,2.4,.583,0.0,0.0,,1.4,2.4,.583,.583,1.0,1.2,.833,1.8,0.6,2.4,0.8,0.4,0.0,0.4,0.6,3.8
Gradey Dick,SG,20,TOR,9,0,14.1,1.1,4.1,.270,0.6,2.6,.217,0.6,1.6,.357,.338,0.4,0.4,1.000,0.4,1.1,1.6,0.9,0.2,0.0,0.7,1.6,3.2
Ousmane Dieng,PF,20,OKC,9,0,11.8,1.4,3.7,.394,0.8,2.7,.292,0.7,1.0,.667,.500,0.3,0.4,.750,0.6,1.7,2.2,1.0,0.1,0.0,0.4,0.7,4.0
Spencer Dinwiddie,PG,30,BRK,8,8,26.6,3.6,8.3,.439,2.4,5.6,.422,1.3,2.6,.476,.583,0.9,1.6,.538,0.1,2.9,3.0,5.0,0.3,0.0,1.5,1.4,10.5
Donte DiVincenzo,SG,27,NYK,8,0,19.4,2.5,6.8,.370,1.6,4.4,.371,0.9,2.4,.368,.491,0.6,1.1,.556,0.9,2.5,3.4,1.6,1.0,0.4,1.3,1.8,7.3
Luka Dončić,PG,24,DAL,9,9,36.7,11.2,21.7,.518,4.3,10.4,.415,6.9,11.2,.614,.618,6.1,7.8,.786,0.7,8.2,8.9,8.4,1.3,0.6,4.4,2.1,32.9
Luguentz Dort,SF,24,OKC,9,9,30.0,4.6,8.7,.526,2.6,4.8,.535,2.0,3.9,.514,.673,2.7,3.2,.828,1.3,3.3,4.7,1.3,1.3,1.1,1.3,2.8,14.3
Ayo Dosunmu,SG,24,CHI,7,0,11.7,1.9,4.0,.464,1.0,2.0,.500,0.9,2.0,.429,.589,0.3,0.3,1.000,0.6,0.9,1.4,0.9,0.3,0.1,0.4,0.4,5.0
Andre Drummond,C,30,CHI,9,0,13.6,2.7,4.7,.571,0.0,0.0,,2.7,4.7,.571,.571,0.8,1.4,.538,2.3,2.4,4.8,0.8,1.2,0.2,1.0,1.2,6.1
Chris Duarte,SF,26,SAC,8,0,14.8,1.4,4.5,.306,0.9,2.9,.304,0.5,1.6,.308,.403,1.0,1.4,.727,0.1,1.4,1.5,1.1,0.6,0.1,0.5,3.0,4.6
Kris Dunn,PG,29,UTA,8,0,12.8,1.6,4.0,.406,0.4,1.0,.375,1.3,3.0,.417,.453,0.5,0.8,.667,0.4,1.9,2.3,2.5,0.6,0.0,1.3,1.6,4.1
Kevin Durant,PF,35,PHO,9,9,36.8,10.4,20.6,.508,1.7,4.1,.405,8.8,16.4,.534,.549,7.7,9.2,.831,0.6,6.3,6.9,4.7,0.9,1.1,4.2,1.7,30.2
Jalen Duren,C,20,DET,8,8,28.9,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6
Tari Eason,PF,22,HOU,2,0,16.5,2.5,9.0,.278,0.5,2.0,.250,2.0,7.0,.286,.306,0.0,0.0,,2.5,6.0,8.5,1.0,0.0,1.5,1.0,2.0,5.5
Anthony Edwards,SG,22,MIN,8,8,35.6,10.4,20.8,.500,2.6,6.5,.404,7.8,14.3,.544,.563,4.5,5.6,.800,0.9,5.4,6.3,5.3,1.3,0.4,3.6,2.0,27.9
Kessler Edwards,SF,23,SAC,6,0,5.7,0.2,1.0,.167,0.2,0.7,.250,0.0,0.3,.000,.250,0.2,0.3,.500,0.0,0.8,0.8,0.5,0.2,0.2,0.2,0.8,0.7
Keon Ellis,SG,24,SAC,5,2,13.8,1.6,3.8,.421,1.0,3.2,.313,0.6,0.6,1.000,.553,1.2,2.2,.545,0.4,1.6,2.0,0.6,1.0,0.6,0.6,1.2,5.4
Joel Embiid,C,29,PHI,8,8,33.9,10.9,21.3,.512,1.4,3.6,.379,9.5,17.6,.539,.544,8.8,10.4,.843,2.9,8.6,11.5,5.5,0.6,2.3,3.9,2.5,31.9
Drew Eubanks,C,26,PHO,9,0,18.4,2.4,4.1,.595,0.0,0.0,,2.4,4.1,.595,.595,1.6,1.9,.824,1.3,3.8,5.1,2.1,0.3,1.7,1.3,2.2,6.4
Dante Exum,PG,28,DAL,8,0,7.3,1.3,2.8,.455,0.4,0.8,.500,0.9,2.0,.438,.523,0.3,0.5,.500,0.4,1.5,1.9,1.0,0.3,0.1,0.1,0.8,3.1
Bruno Fernando,C,25,ATL,3,0,2.3,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0
Dorian Finney-Smith,PF,30,BRK,9,8,32.2,4.9,10.1,.484,3.3,7.2,.462,1.6,2.9,.538,.648,0.1,0.3,.333,2.0,3.7,5.7,1.7,0.2,0.9,0.9,2.3,13.2
Malachi Flynn,PG,25,TOR,9,0,14.4,1.9,4.0,.472,1.1,2.2,.500,0.8,1.8,.438,.611,0.6,0.7,.833,0.3,1.3,1.7,2.0,0.9,0.0,1.2,1.3,5.4
Simone Fontecchio,SF,28,UTA,8,0,10.0,2.0,4.0,.500,1.1,2.6,.429,0.9,1.4,.636,.641,0.0,0.0,,0.8,1.3,2.0,0.5,0.3,0.3,1.0,0.8,5.1
Jordan Ford,PG,25,SAC,3,0,3.7,0.7,1.3,.500,0.3,0.3,1.000,0.3,1.0,.333,.625,0.7,0.7,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,2.3
Trent Forrest,SG,25,ATL,1,0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
De'Aaron Fox,PG,26,SAC,3,3,35.3,11.3,23.3,.486,3.0,8.0,.375,8.3,15.3,.543,.550,5.7,7.0,.810,1.0,3.3,4.3,6.0,1.3,0.7,2.7,4.0,31.3
Alex Fudge,SF,20,LAL,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,PG,25,ORL,5,5,28.6,5.4,11.2,.482,0.0,0.6,.000,5.4,10.6,.509,.482,0.6,0.8,.750,1.6,1.8,3.4,4.0,1.2,0.4,1.2,1.2,11.4
